gyroX, 133.91, gyroY, 402.10, gyroZ, 161.74, accX, 0.31, accY, -0.77, accZ, -0.70, Pitch, 3.87, Roll, -111.76, Yaw, 76.82
gyroX, 165.77, gyroY, 518.37, gyroZ, 146.48, accX, 0.53, accY, -1.28, accZ, -1.28, Pitch, 18.91, Roll, -107.98, Yaw, -175.16
gyroX, 153.14, gyroY, 445.74, gyroZ, 156.56, accX, 0.47, accY, -0.83, accZ, -0.87, Pitch, 19.61, Roll, -102.05, Yaw, -66.07
gyroX, 90.58, gyroY, 397.95, gyroZ, 162.60, accX, 0.33, accY, -1.10, accZ, -0.53, Pitch, 6.04, Roll, -106.98, Yaw, 66.01
gyroX, 25.57, gyroY, 212.59, gyroZ, 155.21, accX, 0.40, accY, -1.15, accZ, -0.46, Pitch, 19.72, Roll, -119.00, Yaw, -117.07
gyroX, -7.39, gyroY, 107.67, gyroZ, 187.19, accX, 0.41, accY, -0.84, accZ, -0.11, Pitch, 15.19, Roll, -145.65, Yaw, 130.27
gyroX, -42.66, gyroY, 100.59, gyroZ, 203.67, accX, 0.51, accY, -0.71, accZ, 0.08, Pitch, 2.93, Roll, -161.77, Yaw, 53.65
gyroX, -39.37, gyroY, 370.67, gyroZ, 232.36, accX, 0.48, accY, -0.42, accZ, 0.14, Pitch, -38.76, Roll, -107.87, Yaw, -68.49
gyroX, -22.71, gyroY, 609.74, gyroZ, 249.45, accX, 0.29, accY, -1.44, accZ, 0.45, Pitch, -4.38, Roll, -136.79, Yaw, 20.16
gyroX, 39.98, gyroY, 583.13, gyroZ, 257.81, accX, 0.56, accY, -1.72, accZ, 0.36, Pitch, 13.58, Roll, -88.99, Yaw, -150.52
gyroX, -150.09, gyroY, 687.01, gyroZ, 319.95, accX, 0.46, accY, -0.82, accZ, 0.54, Pitch, 2.88, Roll, -103.26, Yaw, -159.65
gyroX, -198.97, gyroY, 406.68, gyroZ, 249.88, accX, 0.70, accY, -1.87, accZ, 0.71, Pitch, -34.89, Roll, -128.95, Yaw, 19.68
gyroX, -166.38, gyroY, 339.72, gyroZ, 210.51, accX, 0.63, accY, -1.89, accZ, 0.26, Pitch, -7.95, Roll, -114.67, Yaw, -147.21
gyroX, -162.11, gyroY, 548.83, gyroZ, 147.28, accX, -0.09, accY, -1.02, accZ, -0.12, Pitch, -4.35, Roll, -112.25, Yaw, -159.99
gyroX, -186.46, gyroY, 554.08, gyroZ, 109.50, accX, 0.01, accY, -1.40, accZ, 0.02, Pitch, -29.85, Roll, -99.45, Yaw, 34.86
gyroX, -185.18, gyroY, 546.14, gyroZ, 98.75, accX, 0.07, accY, -1.64, accZ, 0.20, Pitch, -11.17, Roll, -110.75, Yaw, 150.78
gyroX, -236.82, gyroY, 275.09, gyroZ, 57.13, accX, 0.04, accY, -1.63, accZ, 0.38, Pitch, -42.30, Roll, -112.92, Yaw, -7.02
gyroX, -207.15, gyroY, 247.19, gyroZ, 53.04, accX, -0.05, accY, -1.64, accZ, 0.39, Pitch, -42.13, Roll, -103.50, Yaw, -125.41
gyroX, -250.18, gyroY, 328.98, gyroZ, 33.26, accX, -0.16, accY, -1.48, accZ, 0.28, Pitch, -32.47, Roll, -96.28, Yaw, 101.27
gyroX, -214.29, gyroY, 309.57, gyroZ, 75.87, accX, -0.13, accY, -0.94, accZ, 0.42, Pitch, -36.62, Roll, -103.10, Yaw, -173.22
gyroX, -185.67, gyroY, 248.78, gyroZ, 89.66, accX, -0.06, accY, -0.86, accZ, 0.53, Pitch, -9.35, Roll, -109.05, Yaw, 51.48
gyroX, -239.26, gyroY, 15.63, gyroZ, 146.97, accX, 0.59, accY, -1.50, accZ, 0.42, Pitch, -56.15, Roll, 174.89, Yaw, -106.14
gyroX, -169.01, gyroY, 211.67, gyroZ, 182.74, accX, 0.87, accY, -1.29, accZ, 0.16, Pitch, -33.45, Roll, -111.60, Yaw, -95.69
gyroX, -170.59, gyroY, 286.32, gyroZ, 164.18, accX, 0.93, accY, -1.38, accZ, 0.17, Pitch, -15.84, Roll, -122.02, Yaw, 109.74
gyroX, -169.62, gyroY, 415.28, gyroZ, 128.78, accX, 0.81, accY, -1.14, accZ, 0.07, Pitch, -32.99, Roll, -103.49, Yaw, -18.44
gyroX, -208.86, gyroY, 477.36, gyroZ, 101.99, accX, 0.38, accY, -1.09, accZ, 0.27, Pitch, -15.66, Roll, -107.08, Yaw, 118.38
gyroX, -143.13, gyroY, 443.30, gyroZ, 68.91, accX, 0.16, accY, -1.05, accZ, 0.55, Pitch, -15.70, Roll, -91.39, Yaw, -46.31
gyroX, -205.20, gyroY, 614.07, gyroZ, 49.32, accX, -0.49, accY, -0.82, accZ, 0.47, Pitch, -24.08, Roll, -100.20, Yaw, 21.60
gyroX, -91.25, gyroY, 383.54, gyroZ, 41.75, accX, -0.48, accY, -1.24, accZ, 0.72, Pitch, -0.89, Roll, -102.06, Yaw, 160.83
gyroX, -190.55, gyroY, 91.67, gyroZ, 39.49, accX, -0.04, accY, -0.80, accZ, 0.74, Pitch, -31.76, Roll, -149.56, Yaw, 73.54
gyroX, -304.87, gyroY, -84.35, gyroZ, 39.25, accX, 0.16, accY, -1.00, accZ, 0.94, Pitch, -11.66, Roll, 126.58, Yaw, 46.75
gyroX, -256.71, gyroY, 225.77, gyroZ, 107.60, accX, 0.56, accY, -1.48, accZ, 1.34, Pitch, 20.62, Roll, -46.33, Yaw, 94.17
gyroX, -230.16, gyroY, 16.60, gyroZ, 47.49, accX, 0.70, accY, -1.57, accZ, 0.70, Pitch, 32.41, Roll, -161.53, Yaw, 54.74
gyroX, -141.42, gyroY, 136.78, gyroZ, 38.94, accX, -0.07, accY, -1.22, accZ, -0.19, Pitch, -23.59, Roll, 84.98, Yaw, 90.86
gyroX, -190.00, gyroY, 89.60, gyroZ, 66.22, accX, -0.38, accY, -1.26, accZ, 0.01, Pitch, 5.52, Roll, -27.45, Yaw, 143.50
gyroX, -310.91, gyroY, 196.17, gyroZ, 221.62, accX, 0.31, accY, -1.68, accZ, 0.71, Pitch, 17.18, Roll, 148.35, Yaw, 78.99
gyroX, -258.12, gyroY, 148.32, gyroZ, 207.15, accX, 0.57, accY, -1.76, accZ, 1.01, Pitch, -31.70, Roll, -38.84, Yaw, -181.49
gyroX, -240.97, gyroY, -175.29, gyroZ, 206.42, accX, 0.63, accY, -1.25, accZ, 0.46, Pitch, 58.68, Roll, 81.44, Yaw, 106.67
gyroX, -197.51, gyroY, -342.29, gyroZ, 232.79, accX, 0.58, accY, -1.03, accZ, 0.00, Pitch, -3.59, Roll, -121.40, Yaw, -149.89
gyroX, -101.93, gyroY, -133.67, gyroZ, 253.91, accX, 0.33, accY, -0.60, accZ, -0.20, Pitch, 35.78, Roll, 57.88, Yaw, 87.43
gyroX, 94.85, gyroY, 59.88, gyroZ, 271.24, accX, 0.25, accY, -1.25, accZ, -0.78, Pitch, -57.86, Roll, -10.30, Yaw, -149.96
gyroX, 179.14, gyroY, 292.48, gyroZ, 302.06, accX, 0.13, accY, -1.09, accZ, -0.76, Pitch, 37.12, Roll, 85.26, Yaw, 9.96
gyroX, 185.91, gyroY, 259.52, gyroZ, 290.34, accX, 0.51, accY, -1.42, accZ, -0.91, Pitch, -20.04, Roll, -68.07, Yaw, -95.38
gyroX, 177.19, gyroY, 183.47, gyroZ, 243.77, accX, 0.50, accY, -1.37, accZ, -0.79, Pitch, 10.16, Roll, 171.52, Yaw, 19.20
