gyroX, -92.47, gyroY, -159.06, gyroZ, -354.43, accX, 0.25, accY, -1.22, accZ, -0.05, Pitch, 3.30, Roll, 121.87, Yaw, -106.76
gyroX, 281.43, gyroY, -57.13, gyroZ, -485.05, accX, -0.25, accY, -2.72, accZ, -1.02, Pitch, -3.26, Roll, -73.06, Yaw, 38.91
gyroX, -70.68, gyroY, -603.15, gyroZ, -299.07, accX, -0.22, accY, -1.61, accZ, -0.24, Pitch, 52.73, Roll, -148.34, Yaw, -97.76
gyroX, 11.05, gyroY, -349.73, gyroZ, -261.11, accX, -0.21, accY, -1.21, accZ, 0.24, Pitch, -45.69, Roll, -81.71, Yaw, 65.44
gyroX, 230.59, gyroY, -0.85, gyroZ, -265.38, accX, 0.30, accY, -0.44, accZ, 0.20, Pitch, -63.05, Roll, 125.02, Yaw, -102.61
gyroX, 108.28, gyroY, 424.87, gyroZ, -177.86, accX, 0.01, accY, -1.48, accZ, -1.33, Pitch, -11.43, Roll, 101.91, Yaw, 96.94
gyroX, 159.55, gyroY, 35.40, gyroZ, -194.40, accX, -0.08, accY, -1.28, accZ, -0.97, Pitch, -6.77, Roll, 164.72, Yaw, -68.08
gyroX, 75.07, gyroY, 75.56, gyroZ, -170.84, accX, 0.15, accY, -0.97, accZ, 0.01, Pitch, -44.31, Roll, -123.18, Yaw, 0.69
gyroX, 27.04, gyroY, 51.64, gyroZ, -181.15, accX, 0.05, accY, -0.74, accZ, -0.31, Pitch, -67.65, Roll, 60.04, Yaw, -165.95
gyroX, 48.22, gyroY, 62.50, gyroZ, -173.40, accX, 0.33, accY, -0.78, accZ, -0.29, Pitch, 22.99, Roll, 107.35, Yaw, -161.73
gyroX, 123.17, gyroY, 174.93, gyroZ, -158.57, accX, 0.39, accY, -0.74, accZ, 0.06, Pitch, -46.72, Roll, -91.64, Yaw, -72.09
gyroX, 139.83, gyroY, 320.37, gyroZ, -125.06, accX, 0.43, accY, -0.54, accZ, 0.02, Pitch, 50.36, Roll, 18.28, Yaw, -175.83
gyroX, 28.99, gyroY, 343.02, gyroZ, -86.18, accX, 0.52, accY, -0.47, accZ, -0.07, Pitch, -33.16, Roll, -131.84, Yaw, -35.96
gyroX, -96.74, gyroY, 368.10, gyroZ, -42.42, accX, 0.29, accY, -0.17, accZ, 0.19, Pitch, 3.79, Roll, -41.24, Yaw, 140.26
gyroX, -172.49, gyroY, 371.46, gyroZ, 61.22, accX, 0.49, accY, -0.10, accZ, 0.30, Pitch, -12.16, Roll, -136.16, Yaw, -1.17
gyroX, -402.34, gyroY, 490.97, gyroZ, 92.53, accX, 0.63, accY, -0.47, accZ, 0.75, Pitch, -14.24, Roll, -79.03, Yaw, 97.98
gyroX, -337.46, gyroY, 394.47, gyroZ, 77.45, accX, -0.08, accY, -1.19, accZ, 0.74, Pitch, -70.71, Roll, -94.93, Yaw, -139.90
gyroX, 12.57, gyroY, 556.15, gyroZ, -70.62, accX, -0.55, accY, -1.46, accZ, 0.46, Pitch, 4.15, Roll, -111.21, Yaw, -38.27
gyroX, 98.33, gyroY, 538.39, gyroZ, -84.23, accX, -0.23, accY, -0.87, accZ, 0.47, Pitch, 23.59, Roll, -89.86, Yaw, 47.88
gyroX, 96.07, gyroY, 497.62, gyroZ, -111.45, accX, -0.69, accY, -0.78, accZ, 0.60, Pitch, 15.54, Roll, -70.63, Yaw, 137.10
gyroX, 84.96, gyroY, 33.63, gyroZ, -237.67, accX, -0.21, accY, -0.86, accZ, 0.76, Pitch, -15.04, Roll, -3.65, Yaw, -44.33
gyroX, -51.70, gyroY, 9.28, gyroZ, -217.53, accX, -0.10, accY, -1.07, accZ, 0.64, Pitch, -12.04, Roll, -4.83, Yaw, -138.34
gyroX, -31.80, gyroY, -163.88, gyroZ, -199.58, accX, -0.56, accY, -1.33, accZ, 0.75, Pitch, -2.98, Roll, 66.68, Yaw, 107.71
gyroX, -111.76, gyroY, -666.87, gyroZ, -144.29, accX, -0.36, accY, -1.64, accZ, 0.61, Pitch, -23.69, Roll, 94.26, Yaw, -95.64
gyroX, 62.32, gyroY, -200.32, gyroZ, -521.97, accX, -0.18, accY, -1.91, accZ, -0.59, Pitch, 39.71, Roll, -87.39, Yaw, -11.11
gyroX, -365.36, gyroY, 74.65, gyroZ, -568.60, accX, -0.07, accY, -2.45, accZ, -1.36, Pitch, -58.64, Roll, 163.79, Yaw, 47.74
gyroX, -1006.41, gyroY, 911.50, gyroZ, -324.89, accX, -0.25, accY, -2.01, accZ, -0.67, Pitch, 6.23, Roll, -128.07, Yaw, 53.96
gyroX, 56.46, gyroY, -374.51, gyroZ, -305.42, accX, -0.24, accY, -1.90, accZ, 0.22, Pitch, 5.63, Roll, 158.61, Yaw, 149.55
gyroX, -61.95, gyroY, -72.27, gyroZ, -152.77, accX, -0.84, accY, -1.63, accZ, 0.77, Pitch, -34.27, Roll, -158.54, Yaw, -154.60
gyroX, -77.64, gyroY, -249.39, gyroZ, -97.53, accX, 0.12, accY, -1.02, accZ, 0.63, Pitch, 18.97, Roll, -53.83, Yaw, 51.59
gyroX, -220.21, gyroY, -69.27, gyroZ, -84.72, accX, 0.31, accY, -0.74, accZ, 0.07, Pitch, -25.94, Roll, -170.79, Yaw, 119.79
gyroX, -55.60, gyroY, -79.96, gyroZ, -63.54, accX, 0.35, accY, -0.54, accZ, 0.04, Pitch, 10.89, Roll, 160.92, Yaw, 142.25
gyroX, 102.97, gyroY, -121.09, gyroZ, -4.94, accX, 0.43, accY, -0.38, accZ, -0.03, Pitch, 32.85, Roll, -141.34, Yaw, 164.39
gyroX, 182.19, gyroY, -269.84, gyroZ, -21.42, accX, 0.89, accY, -0.68, accZ, -0.15, Pitch, 1.06, Roll, -42.06, Yaw, -114.95
gyroX, 138.18, gyroY, -313.72, gyroZ, -97.66, accX, 0.51, accY, -0.80, accZ, -0.39, Pitch, -69.79, Roll, -147.81, Yaw, 55.23
gyroX, 173.46, gyroY, -550.17, gyroZ, -174.38, accX, 0.39, accY, -0.90, accZ, -0.45, Pitch, 2.96, Roll, -78.62, Yaw, -110.48
gyroX, 194.15, gyroY, -625.67, gyroZ, -240.05, accX, 0.49, accY, -0.96, accZ, -0.51, Pitch, -34.72, Roll, -138.13, Yaw, 64.96
gyroX, 179.32, gyroY, -777.65, gyroZ, -290.34, accX, 0.21, accY, -0.94, accZ, -0.32, Pitch, 0.59, Roll, -85.71, Yaw, -112.28
gyroX, 123.23, gyroY, -514.47, gyroZ, -261.05, accX, 0.46, accY, -1.00, accZ, -0.19, Pitch, -5.78, Roll, -99.84, Yaw, -123.17
gyroX, -23.74, gyroY, -146.61, gyroZ, -219.73, accX, 0.20, accY, -0.95, accZ, -0.19, Pitch, -43.12, Roll, -144.40, Yaw, -16.14
gyroX, -294.19, gyroY, -39.37, gyroZ, -159.48, accX, -0.00, accY, -1.22, accZ, -0.53, Pitch, -4.06, Roll, 114.86, Yaw, 43.80
gyroX, -373.47, gyroY, 170.47, gyroZ, -112.67, accX, 0.34, accY, -0.66, accZ, -0.69, Pitch, 36.04, Roll, -93.73, Yaw, 7.88
gyroX, 338.01, gyroY, -292.05, gyroZ, -279.05, accX, -0.08, accY, -0.46, accZ, -0.63, Pitch, -81.35, Roll, -85.60, Yaw, 99.45
gyroX, -102.84, gyroY, 291.02, gyroZ, -189.27, accX, -0.05, accY, -1.39, accZ, -0.82, Pitch, 56.17, Roll, 30.03, Yaw, -39.96
gyroX, 75.20, gyroY, -902.04, gyroZ, -415.10, accX, 0.54, accY, -1.04, accZ, -0.11, Pitch, 20.42, Roll, 151.11, Yaw, 86.90
gyroX, 360.05, gyroY, -383.36, gyroZ, -680.48, accX, -0.07, accY, -1.58, accZ, 0.00, Pitch, -66.70, Roll, 114.12, Yaw, 67.19
gyroX, -222.53, gyroY, -47.85, gyroZ, -57.98, accX, -0.24, accY, -1.76, accZ, -0.45, Pitch, -34.49, Roll, 159.95, Yaw, 10.42
gyroX, 36.38, gyroY, 166.38, gyroZ, -156.80, accX, -0.94, accY, -0.96, accZ, -0.33, Pitch, -4.13, Roll, 79.05, Yaw, 89.11
gyroX, 78.43, gyroY, 382.39, gyroZ, -96.07, accX, -0.02, accY, -0.91, accZ, -0.80, Pitch, -16.43, Roll, 154.24, Yaw, -153.86
