gyroX, -130.92, gyroY, -359.80, gyroZ, -25.02, accX, -0.40, accY, -1.13, accZ, -0.21, Pitch, -34.18, Roll, 33.84, Yaw, 157.92
gyroX, -97.47, gyroY, 978.27, gyroZ, -51.09, accX, 0.63, accY, -0.37, accZ, -1.96, Pitch, 16.83, Roll, -150.66, Yaw, -4.36
gyroX, 52.49, gyroY, -167.72, gyroZ, -136.23, accX, -0.51, accY, -0.40, accZ, 0.85, Pitch, 7.10, Roll, -137.52, Yaw, 28.95
gyroX, 19.78, gyroY, -291.56, gyroZ, -92.90, accX, -0.39, accY, -0.06, accZ, 0.69, Pitch, 10.65, Roll, -73.75, Yaw, 138.75
gyroX, -139.83, gyroY, -274.23, gyroZ, -121.34, accX, -0.17, accY, -0.11, accZ, 0.33, Pitch, -13.08, Roll, -140.12, Yaw, -95.68
gyroX, -48.03, gyroY, -415.77, gyroZ, -67.69, accX, -0.36, accY, -0.04, accZ, 0.30, Pitch, 24.70, Roll, -49.98, Yaw, 90.85
gyroX, 26.79, gyroY, -343.87, gyroZ, -4.64, accX, -0.52, accY, -0.08, accZ, 0.13, Pitch, -40.05, Roll, -101.21, Yaw, -132.92
gyroX, 10.01, gyroY, -229.49, gyroZ, -12.63, accX, -1.26, accY, -1.81, accZ, -0.41, Pitch, 14.86, Roll, -94.26, Yaw, -21.54
gyroX, 251.28, gyroY, 671.45, gyroZ, 168.52, accX, -2.33, accY, 1.22, accZ, -3.12, Pitch, 22.97, Roll, -110.82, Yaw, -176.25
gyroX, 150.39, gyroY, 400.45, gyroZ, -90.88, accX, -2.84, accY, -1.74, accZ, -0.87, Pitch, -9.47, Roll, -88.83, Yaw, 66.48
gyroX, 51.57, gyroY, 305.36, gyroZ, 223.88, accX, -0.98, accY, -1.92, accZ, 0.68, Pitch, 37.25, Roll, -96.57, Yaw, 3.36
gyroX, 6.29, gyroY, 297.79, gyroZ, 273.19, accX, -0.65, accY, -0.84, accZ, 1.13, Pitch, 22.43, Roll, -165.93, Yaw, -126.31
