gyroX, 34.67, gyroY, -260.19, gyroZ, -48.58, accX, 0.41, accY, -0.63, accZ, -0.28, Pitch, -24.40, Roll, -130.65, Yaw, -173.43
gyroX, 67.93, gyroY, -482.85, gyroZ, -83.74, accX, 0.51, accY, -0.90, accZ, -0.02, Pitch, 5.37, Roll, -85.19, Yaw, -12.58
gyroX, 20.14, gyroY, -337.77, gyroZ, -132.69, accX, 0.18, accY, -0.83, accZ, -0.21, Pitch, -8.51, Roll, -122.77, Yaw, -174.94
gyroX, -54.20, gyroY, 119.45, gyroZ, -113.95, accX, 0.20, accY, -1.11, accZ, -0.86, Pitch, -50.00, Roll, -144.22, Yaw, -156.75
gyroX, -3.11, gyroY, 274.96, gyroZ, -128.48, accX, 0.14, accY, -0.63, accZ, -0.77, Pitch, -72.53, Roll, 21.50, Yaw, 31.25
gyroX, -26.12, gyroY, 885.13, gyroZ, 88.62, accX, 0.34, accY, -0.37, accZ, -1.40, Pitch, 37.24, Roll, 165.15, Yaw, -134.84
gyroX, -388.24, gyroY, 1468.51, gyroZ, 197.57, accX, 0.88, accY, -0.79, accZ, -1.41, Pitch, -47.15, Roll, 3.47, Yaw, 28.64
gyroX, -483.15, gyroY, 1634.95, gyroZ, -166.20, accX, 2.53, accY, -0.95, accZ, -0.93, Pitch, -80.48, Roll, -23.89, Yaw, 81.69
gyroX, -658.75, gyroY, 917.36, gyroZ, -7.93, accX, 0.49, accY, -1.03, accZ, -0.47, Pitch, 14.46, Roll, -89.87, Yaw, -24.56
gyroX, -46.45, gyroY, 248.17, gyroZ, -318.73, accX, 0.32, accY, -1.47, accZ, -0.29, Pitch, 30.75, Roll, -24.87, Yaw, 106.72
gyroX, 29.54, gyroY, -204.59, gyroZ, -280.58, accX, 0.04, accY, -1.53, accZ, 0.51, Pitch, -74.17, Roll, 133.46, Yaw, -105.42
gyroX, 239.38, gyroY, -517.94, gyroZ, -242.43, accX, 0.33, accY, -1.61, accZ, 0.75, Pitch, 45.73, Roll, -94.88, Yaw, -20.29
gyroX, 336.98, gyroY, -448.91, gyroZ, -200.50, accX, 0.29, accY, -1.05, accZ, 0.58, Pitch, -60.74, Roll, 135.95, Yaw, -86.10
gyroX, 294.01, gyroY, -469.85, gyroZ, -79.10, accX, -0.02, accY, -0.57, accZ, 1.26, Pitch, 17.89, Roll, -39.61, Yaw, 23.55
gyroX, 68.12, gyroY, -333.62, gyroZ, -90.39, accX, 0.19, accY, -0.80, accZ, 0.44, Pitch, -76.60, Roll, 172.51, Yaw, -125.85
gyroX, -41.44, gyroY, 146.30, gyroZ, -155.64, accX, 0.10, accY, -0.51, accZ, 0.10, Pitch, -32.72, Roll, 34.19, Yaw, -5.41
gyroX, -7.81, gyroY, -172.30, gyroZ, -82.21, accX, 0.21, accY, -0.23, accZ, 0.00, Pitch, -55.06, Roll, 48.30, Yaw, -54.53
gyroX, 149.90, gyroY, -297.55, gyroZ, -19.35, accX, 0.47, accY, 0.01, accZ, -0.08, Pitch, 29.02, Roll, -172.65, Yaw, -164.58
gyroX, 164.67, gyroY, -407.35, gyroZ, 8.91, accX, 0.50, accY, -0.24, accZ, 0.09, Pitch, 8.24, Roll, -13.98, Yaw, -29.50
gyroX, 271.36, gyroY, -511.35, gyroZ, 30.27, accX, 0.74, accY, -0.70, accZ, 0.28, Pitch, 10.07, Roll, -117.86, Yaw, -122.98
gyroX, -56.70, gyroY, -484.01, gyroZ, -114.32, accX, 0.52, accY, -3.13, accZ, 0.03, Pitch, 25.13, Roll, -123.89, Yaw, -138.21
gyroX, 99.00, gyroY, 243.35, gyroZ, -60.18, accX, 0.13, accY, -0.75, accZ, -0.31, Pitch, -16.91, Roll, -91.06, Yaw, -186.08
gyroX, 310.36, gyroY, 144.35, gyroZ, -26.55, accX, 0.08, accY, -1.17, accZ, -0.61, Pitch, 10.60, Roll, -7.15, Yaw, 119.03
gyroX, 222.29, gyroY, -221.92, gyroZ, -49.13, accX, 0.09, accY, -1.50, accZ, -1.25, Pitch, 9.13, Roll, 127.50, Yaw, 62.82
gyroX, 276.37, gyroY, -259.83, gyroZ, -67.26, accX, 0.49, accY, -1.19, accZ, -1.03, Pitch, 51.21, Roll, -34.47, Yaw, 144.01
gyroX, 58.47, gyroY, -449.83, gyroZ, -151.79, accX, 0.30, accY, -0.77, accZ, -0.48, Pitch, 9.98, Roll, 132.39, Yaw, -16.01
gyroX, 48.03, gyroY, 89.78, gyroZ, -106.81, accX, -0.35, accY, -1.15, accZ, -0.66, Pitch, 57.10, Roll, -113.86, Yaw, 105.44
gyroX, 47.67, gyroY, 468.63, gyroZ, -19.90, accX, 0.27, accY, -0.77, accZ, -0.93, Pitch, -41.93, Roll, -79.93, Yaw, -51.62
gyroX, -32.59, gyroY, 205.51, gyroZ, -43.58, accX, 0.65, accY, -0.80, accZ, -0.21, Pitch, -35.41, Roll, -52.40, Yaw, -110.93
gyroX, -106.02, gyroY, 43.03, gyroZ, -145.45, accX, 0.25, accY, -1.11, accZ, 0.57, Pitch, -35.44, Roll, -77.77, Yaw, 12.67
gyroX, -16.78, gyroY, -326.42, gyroZ, -103.03, accX, 0.41, accY, -1.23, accZ, 0.45, Pitch, -3.44, Roll, -147.67, Yaw, 155.24
gyroX, 84.78, gyroY, -228.58, gyroZ, -28.87, accX, 0.71, accY, -1.28, accZ, 0.88, Pitch, -22.47, Roll, -51.23, Yaw, -19.33
gyroX, 131.96, gyroY, -382.57, gyroZ, -1.95, accX, 0.47, accY, -0.67, accZ, 1.20, Pitch, -60.95, Roll, -101.04, Yaw, 106.48
gyroX, 103.39, gyroY, -446.35, gyroZ, -21.73, accX, 0.80, accY, -0.16, accZ, 1.01, Pitch, 13.52, Roll, -83.88, Yaw, -57.43
gyroX, -174.87, gyroY, -290.95, gyroZ, -114.20, accX, 0.49, accY, -1.03, accZ, 0.80, Pitch, 28.27, Roll, -136.84, Yaw, 79.05
gyroX, 157.71, gyroY, -602.17, gyroZ, -42.48, accX, 0.12, accY, -0.85, accZ, 0.40, Pitch, -54.93, Roll, -82.64, Yaw, -54.80
gyroX, 30.03, gyroY, -140.44, gyroZ, -87.22, accX, 0.43, accY, -0.76, accZ, 0.18, Pitch, -27.79, Roll, -92.61, Yaw, -153.09
gyroX, -198.91, gyroY, -8.91, gyroZ, -131.04, accX, 0.21, accY, -0.64, accZ, 0.01, Pitch, -49.63, Roll, -179.23, Yaw, -103.98
gyroX, -220.03, gyroY, -147.83, gyroZ, -168.82, accX, 0.28, accY, -0.73, accZ, -0.11, Pitch, 4.31, Roll, 71.37, Yaw, -127.03
gyroX, -56.95, gyroY, -81.12, gyroZ, -127.50, accX, -0.04, accY, -1.13, accZ, -0.16, Pitch, -22.61, Roll, -24.80, Yaw, 167.06
