gyroX, -16.05, gyroY, -11.47, gyroZ, -0.49, accX, -0.12, accY, -0.98, accZ, -0.08, Pitch, 12.00, Roll, -111.34, Yaw, -15.70
gyroX, -15.63, gyroY, -8.61, gyroZ, 0.37, accX, -0.13, accY, -0.96, accZ, -0.10, Pitch, 11.80, Roll, -110.32, Yaw, -8.79
gyroX, -14.77, gyroY, -3.78, gyroZ, 0.92, accX, -0.13, accY, -0.97, accZ, -0.12, Pitch, 11.45, Roll, -110.21, Yaw, -6.28
gyroX, -14.77, gyroY, -2.01, gyroZ, 1.53, accX, -0.11, accY, -0.98, accZ, -0.09, Pitch, 10.79, Roll, -109.69, Yaw, -4.62
gyroX, -13.85, gyroY, -0.06, gyroZ, 2.08, accX, -0.12, accY, -0.98, accZ, -0.09, Pitch, 10.32, Roll, -109.38, Yaw, -3.70
gyroX, -13.06, gyroY, 2.38, gyroZ, 2.62, accX, -0.11, accY, -0.98, accZ, -0.08, Pitch, 9.91, Roll, -109.29, Yaw, -3.66
gyroX, -12.27, gyroY, 4.58, gyroZ, 2.93, accX, -0.11, accY, -0.98, accZ, -0.08, Pitch, 9.45, Roll, -108.80, Yaw, -4.30
gyroX, -11.17, gyroY, 4.82, gyroZ, 2.62, accX, -0.11, accY, -0.98, accZ, -0.07, Pitch, 9.22, Roll, -108.48, Yaw, -4.78
gyroX, -12.57, gyroY, 5.98, gyroZ, 3.05, accX, -0.11, accY, -0.97, accZ, -0.09, Pitch, 8.99, Roll, -108.43, Yaw, -5.51
gyroX, -13.00, gyroY, 6.47, gyroZ, 3.11, accX, -0.13, accY, -0.98, accZ, -0.09, Pitch, 8.96, Roll, -108.39, Yaw, -6.56
gyroX, -12.82, gyroY, 4.33, gyroZ, 2.75, accX, -0.12, accY, -0.98, accZ, -0.10, Pitch, 8.87, Roll, -108.53, Yaw, -7.26
gyroX, -14.47, gyroY, 4.70, gyroZ, 3.11, accX, -0.12, accY, -0.98, accZ, -0.11, Pitch, 8.69, Roll, -109.10, Yaw, -8.53
gyroX, -12.76, gyroY, 0.24, gyroZ, 2.75, accX, -0.12, accY, -0.97, accZ, -0.11, Pitch, 8.76, Roll, -109.31, Yaw, -9.57
gyroX, -10.38, gyroY, -2.56, gyroZ, 1.28, accX, -0.10, accY, -0.97, accZ, -0.12, Pitch, 8.81, Roll, -108.79, Yaw, -7.46
gyroX, -9.58, gyroY, -2.50, gyroZ, -0.06, accX, -0.13, accY, -0.97, accZ, -0.12, Pitch, 8.46, Roll, -107.95, Yaw, -5.73
gyroX, -9.34, gyroY, -8.91, gyroZ, -1.28, accX, -0.14, accY, -0.97, accZ, -0.13, Pitch, 9.03, Roll, -107.03, Yaw, -1.44
gyroX, -12.08, gyroY, -8.00, gyroZ, 0.24, accX, -0.13, accY, -0.96, accZ, -0.11, Pitch, 9.39, Roll, -106.57, Yaw, 1.67
gyroX, -13.00, gyroY, -8.79, gyroZ, 0.49, accX, -0.12, accY, -0.98, accZ, -0.09, Pitch, 9.67, Roll, -106.33, Yaw, 4.73
gyroX, -13.85, gyroY, -9.03, gyroZ, 0.31, accX, -0.11, accY, -0.99, accZ, -0.04, Pitch, 9.72, Roll, -105.82, Yaw, 9.03
gyroX, -9.89, gyroY, 0.92, gyroZ, 1.40, accX, -0.10, accY, -0.99, accZ, -0.07, Pitch, 8.34, Roll, -104.72, Yaw, 10.31
gyroX, -10.25, gyroY, 0.43, gyroZ, 1.04, accX, -0.11, accY, -1.00, accZ, -0.08, Pitch, 8.08, Roll, -104.81, Yaw, 10.44
gyroX, -13.61, gyroY, -1.83, gyroZ, 1.34, accX, -0.13, accY, -0.96, accZ, -0.08, Pitch, 8.40, Roll, -105.31, Yaw, 11.83
gyroX, -13.92, gyroY, 4.64, gyroZ, 2.93, accX, -0.12, accY, -0.98, accZ, -0.09, Pitch, 8.49, Roll, -106.49, Yaw, 11.28
gyroX, -15.32, gyroY, 5.68, gyroZ, 3.11, accX, -0.10, accY, -0.99, accZ, -0.06, Pitch, 8.02, Roll, -108.08, Yaw, 7.68
gyroX, -17.33, gyroY, -2.20, gyroZ, 2.44, accX, -0.11, accY, -0.99, accZ, -0.09, Pitch, 8.19, Roll, -108.39, Yaw, 8.19
gyroX, -18.07, gyroY, -0.12, gyroZ, 2.62, accX, -0.12, accY, -0.98, accZ, -0.09, Pitch, 8.44, Roll, -109.42, Yaw, 8.83
