gyroX, -43.58, gyroY, 29.72, gyroZ, -7.93, accX, -0.19, accY, -0.87, accZ, -0.07, Pitch, -12.71, Roll, -137.52, Yaw, 12.24
gyroX, -6.53, gyroY, 5.13, gyroZ, 24.66, accX, -0.21, accY, -1.17, accZ, 0.09, Pitch, -0.63, Roll, -125.23, Yaw, -0.98
gyroX, -5.13, gyroY, -87.46, gyroZ, 38.33, accX, -0.15, accY, -1.04, accZ, -0.01, Pitch, 17.87, Roll, -107.85, Yaw, 8.34
gyroX, 17.27, gyroY, -238.77, gyroZ, 4.88, accX, 0.09, accY, -0.68, accZ, -0.08, Pitch, 18.27, Roll, -74.75, Yaw, 86.70
gyroX, 45.41, gyroY, -285.64, gyroZ, -5.55, accX, 0.12, accY, -0.52, accZ, -0.11, Pitch, -23.38, Roll, -97.33, Yaw, -121.80
gyroX, 60.49, gyroY, -309.63, gyroZ, -9.09, accX, 0.11, accY, -0.78, accZ, -0.12, Pitch, 2.18, Roll, -90.54, Yaw, 28.44
gyroX, 48.89, gyroY, -324.04, gyroZ, -67.08, accX, 0.06, accY, -1.01, accZ, -0.14, Pitch, -20.93, Roll, -103.80, Yaw, -160.36
gyroX, -4.09, gyroY, 257.93, gyroZ, -27.47, accX, -0.14, accY, -1.16, accZ, -0.18, Pitch, -32.09, Roll, -89.93, Yaw, 167.56
gyroX, 43.21, gyroY, 369.69, gyroZ, 6.71, accX, -0.73, accY, -1.34, accZ, 0.02, Pitch, 32.21, Roll, -75.15, Yaw, 37.93
gyroX, 89.66, gyroY, 365.42, gyroZ, 8.54, accX, -0.83, accY, -1.26, accZ, -0.32, Pitch, 12.10, Roll, -72.30, Yaw, 102.42
gyroX, 27.28, gyroY, 69.15, gyroZ, 20.20, accX, -0.20, accY, -1.16, accZ, -0.05, Pitch, 27.42, Roll, -80.77, Yaw, 35.66
gyroX, 7.87, gyroY, 467.77, gyroZ, -2.93, accX, 0.24, accY, -1.24, accZ, 0.08, Pitch, -27.45, Roll, -91.09, Yaw, -130.04
gyroX, 16.60, gyroY, 863.40, gyroZ, -65.67, accX, -0.09, accY, -1.58, accZ, -0.60, Pitch, -30.13, Roll, -91.11, Yaw, -107.65
gyroX, -127.08, gyroY, 400.76, gyroZ, -90.64, accX, -0.75, accY, -1.34, accZ, -0.29, Pitch, -12.89, Roll, -112.35, Yaw, -13.18
